Country,Fatal (Y/N)
ALGERIA,Y
AMERICAN SAMOA,Y
AMERICAN SAMOA,Y
AMERICAN SAMOA,Y
ANDAMAN / NICOBAR ISLANDAS,Y
ARUBA,Y
ATLANTIC OCEAN,Y
ATLANTIC OCEAN,Y
ATLANTIC OCEAN,Y
ATLANTIC OCEAN,Y
ATLANTIC OCEAN,Y
ATLANTIC OCEAN,Y
ATLANTIC OCEAN,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
AUSTRALIA,Y
BAHAMAS,Y
BAHAMAS,Y
BAHAMAS,Y
BAHAMAS,Y
BAHAMAS,Y
BAHAMAS,Y
BAHAMAS,Y
BAHAMAS,Y
BAHAMAS,Y
BAHAMAS,Y
BAHAMAS,Y
BAHAMAS,Y
BAHREIN,Y
BANGLADESH,Y
BARBADOS,Y
BARBADOS,Y
BARBADOS,Y
BARBADOS,Y
BAY OF BENGAL,Y
BELIZE,Y
BELIZE,Y
BERMUDA,Y
BERMUDA,Y
BERMUDA,Y
Between PORTUGAL & INDIA,Y
BRAZIL,Y
BRAZIL,Y
BRAZIL,Y
BRAZIL,Y
BRAZIL,Y
BRAZIL,Y
BRAZIL,Y
BRAZIL,Y
BRAZIL,Y
BRAZIL,Y
BRAZIL,Y
BRAZIL,Y
BRAZIL,Y
BRAZIL,Y
BRAZIL,Y
BRAZIL,Y
BRAZIL,Y
BRAZIL,Y
BRAZIL,Y
BRAZIL,Y
BRAZIL,Y
BRAZIL,Y
BRAZIL,Y
BRAZIL,Y
BRAZIL,Y
BRAZIL,Y
BRAZIL,Y
BRAZIL,Y
BRAZIL,Y
BRAZIL,Y
BRAZIL,Y
BRAZIL,Y
BRAZIL,Y
BRAZIL,Y
BRAZIL,Y
BRAZIL,Y
BRAZIL,Y
BRAZIL,Y
BRAZIL,Y
BRAZIL,Y
BRITISH VIRGIN ISLANDS,Y
BURMA,Y
BURMA,Y
BURMA,Y
CANADA,Y
CANADA,Y
CAPE VERDE,Y
CAPE VERDE,Y
CARIBBEAN SEA,Y
CARIBBEAN SEA,Y
CARIBBEAN SEA,Y
CARIBBEAN SEA,Y
CARIBBEAN SEA,Y
CENTRAL PACIFIC,Y
CEYLON (SRI LANKA),Y
CHILE,Y
CHILE,Y
CHILE,Y
CHILE,Y
CHINA,Y
CHINA,Y
CHINA,Y
Coast of AFRICA,Y
COLUMBIA,Y
COLUMBIA,Y
COOK ISLANDS,Y
COSTA RICA,Y
COSTA RICA,Y
COSTA RICA,Y
COSTA RICA,Y
COSTA RICA,Y
COSTA RICA,Y
COSTA RICA,Y
COSTA RICA,Y
CRETE,Y
CROATIA,Y
CROATIA,Y
CROATIA,Y
CROATIA,Y
CROATIA,Y
CROATIA,Y
CROATIA,Y
CROATIA,Y
CROATIA,Y
CROATIA,Y
CROATIA,Y
CROATIA,Y
CROATIA,Y
CROATIA,Y
CROATIA,Y
CROATIA,Y
CROATIA,Y
CROATIA,Y
CUBA,Y
CUBA,Y
CUBA,Y
CUBA,Y
CUBA,Y
CUBA,Y
CUBA,Y
CUBA,Y
CUBA,Y
CUBA,Y
CUBA,Y
CUBA,Y
CUBA,Y
CUBA,Y
CUBA,Y
CUBA,Y
CUBA,Y
CUBA,Y
CUBA,Y
CUBA,Y
CUBA,Y
CUBA,Y
CUBA,Y
CUBA,Y
CYPRUS,Y
DIEGO GARCIA,Y
DJIBOUTI,Y
DOMINICAN REPUBLIC,Y
DOMINICAN REPUBLIC,Y
DOMINICAN REPUBLIC,Y
DOMINICAN REPUBLIC,Y
EGYPT,Y
EGYPT,Y
EGYPT,Y
EGYPT,Y
EGYPT,Y
EGYPT,Y
EGYPT,Y
EGYPT,Y
EGYPT,Y
EGYPT,Y
EGYPT,Y
EGYPT,Y
EGYPT,Y
EL SALVADOR,Y
EL SALVADOR,Y
ENGLAND,Y
ENGLAND,Y
ENGLAND,Y
EQUATORIAL GUINEA / CAMEROON,Y
Fiji,Y
FIJI,Y
FIJI,Y
FIJI,Y
FIJI,Y
FIJI,Y
FIJI,Y
FIJI,Y
FIJI,Y
FIJI,Y
FIJI,Y
FIJI,Y
FIJI,Y
FIJI,Y
FIJI,Y
FIJI,Y
FIJI,Y
FIJI,Y
FIJI,Y
FIJI,Y
FIJI,Y
Fiji,Y
FIJI,Y
FIJI,Y
FRANCE,Y
FRANCE,Y
FRANCE,Y
FRENCH POLYNESIA,Y
FRENCH POLYNESIA,Y
GABON,Y
GHANA,Y
GREECE,Y
GREECE,Y
GREECE,Y
GREECE,Y
GREECE,Y
GREECE,Y
GREECE,Y
GREECE,Y
GREECE,Y
GREECE,Y
GREECE,Y
GREECE,Y
GREECE,Y
GREECE,Y
GREECE,Y
GREENLAND,Y
GRENADA,Y
GRENADA,Y
GRENADA,Y
GUAM,Y
GUAM,Y
GUATEMALA,Y
GUINEA,Y
GUINEA,Y
GUINEA,Y
GULF OF ADEN,Y
HAITI,Y
HONDURAS,Y
HONDURAS,Y
HONG KONG,Y
HONG KONG,Y
HONG KONG,Y
HONG KONG,Y
HONG KONG,Y
HONG KONG,Y
HONG KONG,Y
HONG KONG,Y
HONG KONG,Y
HONG KONG,Y
HONG KONG,Y
HONG KONG,Y
HONG KONG,Y
HONG KONG,Y
HONG KONG,Y
HONG KONG,Y
HONG KONG,Y
INDIA,Y
INDIA,Y
INDIA,Y
INDIA,Y
INDIA,Y
INDIA,Y
INDIA,Y
INDIA,Y
INDIA,Y
INDIA,Y
INDIA,Y
INDIA,Y
INDIA,Y
INDIA,Y
INDIA,Y
INDIA,Y
INDIA,Y
INDIA,Y
INDIA,Y
INDIAN OCEAN,Y
INDIAN OCEAN,Y
INDIAN OCEAN,Y
INDIAN OCEAN,Y
INDIAN OCEAN,Y
INDIAN OCEAN?,Y
INDONESIA,Y
INDONESIA,Y
INDONESIA,Y
INDONESIA,Y
INDONESIA,Y
INDONESIA,Y
INDONESIA,Y
INDONESIA,Y
INDONESIA,Y
INDONESIA,Y
INDONESIA,Y
INDONESIA,Y
INDONESIA,Y
INDONESIA,Y
IRAN,Y
IRAN,Y
IRAN,Y
IRAN,Y
IRAN,Y
IRAN,Y
IRAN,Y
IRAN,Y
IRAN,Y
IRAN,Y
IRAN,Y
IRAN,Y
IRAN,Y
IRAQ,Y
IRAQ,Y
IRAQ,Y
IRELAND,Y
ISRAEL,Y
ITALY,Y
ITALY,Y
ITALY,Y
ITALY,Y
ITALY,Y
ITALY,Y
ITALY,Y
ITALY,Y
ITALY,Y
ITALY,Y
ITALY,Y
ITALY,Y
ITALY,Y
ITALY,Y
ITALY,Y
ITALY,Y
ITALY,Y
ITALY,Y
JAMAICA,Y
JAMAICA,Y
JAMAICA,Y
JAMAICA,Y
JAMAICA,Y
JAMAICA,Y
JAMAICA,Y
JAMAICA,Y
JAMAICA,Y
JAMAICA,Y
JAMAICA,Y
JAMAICA,Y
JAMAICA,Y
JAMAICA,Y
JAPAN,Y
JAPAN,Y
JAPAN,Y
JAPAN,Y
JAPAN,Y
JAPAN,Y
JAPAN,Y
JAPAN,Y
JAPAN,Y
JAPAN,Y
JAPAN,Y
JAPAN,Y
JAPAN,Y
JAPAN,Y
JAVA,Y
KENYA,Y
KENYA,Y
KENYA,Y
KENYA,Y
KENYA,Y
KENYA,Y
KIRIBATI,Y
KIRIBATI,Y
KIRIBATI,Y
KIRIBATI,Y
KOREA,Y
LEBANON,Y
LEBANON,Y
LIBERIA,Y
LIBERIA,Y
LIBERIA,Y
LIBYA,Y
LIBYA,Y
MADAGASCAR,Y
MADAGASCAR,Y
MADAGASCAR,Y
MADAGASCAR,Y
MALAYSIA,Y
MALDIVE ISLANDS,Y
MALTA,Y
MALTA,Y
MALTA,Y
MARSHALL ISLANDS,Y
MARSHALL ISLANDS,Y
MAURITIUS,Y
MAURITIUS,Y
MAYOTTE,Y
MEDITERRANEAN SEA,Y
MEXICO,Y
MEXICO,Y
MEXICO,Y
MEXICO,Y
MEXICO,Y
MEXICO,Y
MEXICO,Y
MEXICO,Y
MEXICO,Y
MEXICO,Y
MEXICO,Y
MEXICO,Y
MEXICO,Y
MEXICO,Y
MEXICO,Y
MEXICO,Y
MEXICO,Y
MEXICO,Y
MEXICO,Y
MEXICO,Y
MEXICO,Y
MEXICO,Y
MEXICO,Y
MEXICO,Y
MEXICO,Y
MEXICO,Y
MEXICO,Y
MEXICO,Y
MEXICO,Y
MEXICO,Y
MEXICO,Y
MEXICO,Y
MEXICO,Y
MEXICO,Y
MEXICO,Y
MEXICO,Y
MEXICO,Y
MEXICO,Y
MEXICO,Y
MEXICO,Y
MEXICO,Y
MEXICO,Y
MEXICO,Y
MEXICO,Y
MID ATLANTIC OCEAN,Y
MID ATLANTIC OCEAN,Y
MONACO,Y
MONTENEGRO,Y
MONTENEGRO,Y
MOZAMBIQUE,Y
MOZAMBIQUE,Y
MOZAMBIQUE,Y
MOZAMBIQUE,Y
MOZAMBIQUE,Y
MOZAMBIQUE,Y
MOZAMBIQUE,Y
MOZAMBIQUE,Y
MOZAMBIQUE,Y
MOZAMBIQUE,Y
MOZAMBIQUE,Y
MOZAMBIQUE,Y
MOZAMBIQUE,Y
MOZAMBIQUE,Y
MOZAMBIQUE,Y
MOZAMBIQUE,Y
MOZAMBIQUE,Y
MOZAMBIQUE,Y
MOZAMBIQUE,Y
MOZAMBIQUE,Y
NAMIBIA,Y
NEVIS,Y
NEW BRITAIN,Y
NEW BRITAIN,Y
NEW BRITAIN,Y
NEW BRITAIN,Y
NEW CALEDONIA,Y
NEW CALEDONIA,Y
NEW CALEDONIA,Y
NEW CALEDONIA,Y
NEW CALEDONIA,Y
NEW CALEDONIA,Y
NEW CALEDONIA,Y
NEW CALEDONIA,Y
NEW CALEDONIA,Y
NEW CALEDONIA,Y
NEW CALEDONIA,Y
NEW CALEDONIA,Y
NEW CALEDONIA,Y
NEW CALEDONIA,Y
NEW CALEDONIA,Y
NEW CALEDONIA,Y
NEW CALEDONIA,Y
NEW CALEDONIA,Y
NEW CALEDONIA,Y
NEW GUINEA,Y
NEW GUINEA,Y
NEW GUINEA,Y
NEW GUINEA,Y
NEW GUINEA,Y
NEW GUINEA,Y
NEW ZEALAND,Y
NEW ZEALAND,Y
NEW ZEALAND,Y
NEW ZEALAND,Y
NEW ZEALAND,Y
NEW ZEALAND,Y
NEW ZEALAND,Y
NEW ZEALAND,Y
NEW ZEALAND,Y
NEW ZEALAND,Y
NEW ZEALAND,Y
NEW ZEALAND,Y
NEW ZEALAND,Y
NEW ZEALAND,Y
NEW ZEALAND,Y
NEW ZEALAND,Y
NEW ZEALAND,Y
NEW ZEALAND,Y
NEW ZEALAND,Y
NEW ZEALAND,Y
NEW ZEALAND,Y
NEW ZEALAND,Y
NEW ZEALAND,Y
NEW ZEALAND,Y
NEW ZEALAND,Y
NEW ZEALAND,Y
NEW ZEALAND,Y
NEW ZEALAND,Y
NICARAGUA,Y
NICARAGUA,Y
NICARAGUA,Y
NICARAGUA,Y
NICARAGUA,Y
NIGERIA,Y
NIGERIA,Y
NIGERIA,Y
NORTH PACIFIC OCEAN,Y
NORTH PACIFIC OCEAN,Y
OKINAWA,Y
OKINAWA,Y
OKINAWA,Y
OKINAWA,Y
PACIFIC OCEAN,Y
PACIFIC OCEAN,Y
PACIFIC OCEAN,Y
PACIFIC OCEAN,Y
PACIFIC OCEAN,Y
PACIFIC OCEAN,Y
PACIFIC OCEAN,Y
PACIFIC OCEAN,Y
PANAMA,Y
PANAMA,Y
PANAMA,Y
PANAMA,Y
PANAMA,Y
PANAMA,Y
PANAMA,Y
PANAMA,Y
PANAMA,Y
PANAMA,Y
PANAMA,Y
PANAMA,Y
PANAMA,Y
PANAMA,Y
PANAMA,Y
PANAMA,Y
PANAMA,Y
PANAMA,Y
PANAMA,Y
PAPUA NEW GUINEA,Y
PAPUA NEW GUINEA,Y
PAPUA NEW GUINEA,Y
PAPUA NEW GUINEA,Y
PAPUA NEW GUINEA,Y
PAPUA NEW GUINEA,Y
PAPUA NEW GUINEA,Y
PAPUA NEW GUINEA,Y
PAPUA NEW GUINEA,Y
PAPUA NEW GUINEA,Y
PAPUA NEW GUINEA,Y
PAPUA NEW GUINEA,Y
PAPUA NEW GUINEA,Y
PAPUA NEW GUINEA,Y
PAPUA NEW GUINEA,Y
PAPUA NEW GUINEA,Y
PAPUA NEW GUINEA,Y
PAPUA NEW GUINEA,Y
PAPUA NEW GUINEA,Y
PAPUA NEW GUINEA,Y
PAPUA NEW GUINEA,Y
PAPUA NEW GUINEA,Y
PAPUA NEW GUINEA,Y
PAPUA NEW GUINEA,Y
PAPUA NEW GUINEA,Y
PAPUA NEW GUINEA,Y
PAPUA NEW GUINEA,Y
PAPUA NEW GUINEA,Y
PAPUA NEW GUINEA,Y
PAPUA NEW GUINEA,Y
PAPUA NEW GUINEA,Y
PAPUA NEW GUINEA,Y
PAPUA NEW GUINEA,Y
PAPUA NEW GUINEA,Y
PAPUA NEW GUINEA,Y
PAPUA NEW GUINEA,Y
PAPUA NEW GUINEA,Y
PAPUA NEW GUINEA,Y
PAPUA NEW GUINEA,Y
PAPUA NEW GUINEA,Y
PAPUA NEW GUINEA,Y
PAPUA NEW GUINEA,Y
PAPUA NEW GUINEA,Y
PAPUA NEW GUINEA,Y
PAPUA NEW GUINEA,Y
PAPUA NEW GUINEA,Y
PAPUA NEW GUINEA,Y
PAPUA NEW GUINEA,Y
PAPUA NEW GUINEA,Y
PAPUA NEW GUINEA,Y
PAPUA NEW GUINEA,Y
PAPUA NEW GUINEA,Y
PAPUA NEW GUINEA,Y
PAPUA NEW GUINEA,Y
PAPUA NEW GUINEA,Y
PAPUA NEW GUINEA,Y
PARAGUAY,Y
PERSIAN GULF,Y
PHILIPPINES,Y
PHILIPPINES,Y
PHILIPPINES,Y
PHILIPPINES,Y
PHILIPPINES,Y
PHILIPPINES,Y
PHILIPPINES,Y
PHILIPPINES,Y
PHILIPPINES,Y
PHILIPPINES,Y
PHILIPPINES,Y
PHILIPPINES,Y
PHILIPPINES,Y
PHILIPPINES,Y
PHILIPPINES,Y
PHILIPPINES,Y
PHILIPPINES,Y
PHILIPPINES,Y
PHILIPPINES,Y
PHILIPPINES,Y
PHILIPPINES,Y
PHILIPPINES,Y
PHILIPPINES,Y
PHILIPPINES,Y
PHILIPPINES,Y
PHILIPPINES,Y
PHILIPPINES,Y
PHILIPPINES,Y
PHILIPPINES,Y
PHILIPPINES,Y
PHILIPPINES,Y
PHILIPPINES,Y
PHILIPPINES,Y
PHILIPPINES,Y
PHILIPPINES,Y
PHILIPPINES,Y
PHILIPPINES,Y
PHILIPPINES,Y
PORTUGAL,Y
PORTUGAL,Y
RED SEA / INDIAN OCEAN,Y
REUNION,Y
REUNION,Y
REUNION,Y
REUNION,Y
REUNION,Y
REUNION,Y
REUNION,Y
REUNION,Y
REUNION,Y
REUNION,Y
